Unnamed: 0,Area,Item,Year,yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,temp_bin,rain_bin,yield_bin,rainfall_level,temp_level,yield_level,cluster
0,0,1,1990,36613,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
1,0,3,1990,66667,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
2,0,4,1990,23333,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
3,0,5,1990,12500,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
4,0,6,1990,7000,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
5,0,8,1990,30197,0.4732941910383859,-0.6163661228212831,-0.6610688930715855,medium,medium,low,Medium,Medium,Low,1
6,0,1,1991,29068,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
7,0,3,1991,77818,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
8,0,4,1991,28538,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
9,0,5,1991,6667,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
10,0,6,1991,6066,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
11,0,8,1991,20698,0.4732941910383859,-0.6163661228212831,-0.8210831115687307,medium,medium,low,Medium,Medium,Low,1
12,0,1,1992,24876,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
13,0,3,1992,82920,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
14,0,4,1992,40000,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
15,0,5,1992,3747,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
16,0,6,1992,4507,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
17,0,8,1992,24388,0.4732941910383859,-0.6163661228212831,-0.7101821680558581,medium,medium,low,Medium,Medium,Low,1
18,0,1,1993,24185,0.4732941910383859,-0.6163661228212831,-0.7117664672488988,medium,medium,low,Medium,Medium,Low,1
19,0,3,1993,98446,0.4732941910383859,-0.6163661228212831,-0.7117664672488988,medium,medium,low,Medium,Medium,Low,1
20,0,4,1993,41786,0.4732941910383859,-0.6163661228212831,-0.7117664672488988,medium,medium,low,Medium,Medium,Low,1
21,0,6,1993,7998,0.4732941910383859,-0.6163661228212831,-0.7117664672488988,medium,medium,low,Medium,Medium,Low,1
22,0,8,1993,29976,0.4732941910383859,-0.6163661228212831,-0.7117664672488988,medium,medium,low,Medium,Medium,Low,1
23,0,1,1994,25848,0.4732941910383859,-0.6150318493396773,-0.5675952406821642,medium,medium,low,Medium,Medium,Low,1
24,0,3,1994,81404,0.4732941910383859,-0.6150318493396773,-0.5675952406821642,medium,medium,low,Medium,Medium,Low,1
25,0,6,1994,7927,0.4732941910383859,-0.6150318493396773,-0.5675952406821642,medium,medium,low,Medium,Medium,Low,1
26,0,8,1994,24745,0.4732941910383859,-0.6150318493396773,-0.5675952406821642,medium,medium,low,Medium,Medium,Low,1
27,0,1,1995,31300,0.4732941910383859,-0.6141979284136736,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
28,0,3,1995,111323,0.4732941910383859,-0.6141979284136736,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
29,0,6,1995,11791,0.4732941910383859,-0.6141979284136736,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
30,0,8,1995,28703,0.4732941910383859,-0.6141979284136736,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
31,0,1,1996,32604,0.4732941910383859,-0.6131478551836499,-0.7767227341635814,medium,medium,low,Medium,Medium,Low,1
32,0,3,1996,106138,0.4732941910383859,-0.6131478551836499,-0.7767227341635814,medium,medium,low,Medium,Medium,Low,1
33,0,6,1996,15480,0.4732941910383859,-0.6131478551836499,-0.7767227341635814,medium,medium,low,Medium,Medium,Low,1
34,0,8,1996,21741,0.4732941910383859,-0.6131478551836499,-0.7767227341635814,medium,medium,low,Medium,Medium,Low,1
35,0,1,1997,31862,0.4732941910383859,-0.6120976151694408,-0.7355309551445144,medium,medium,low,Medium,Medium,Low,1
36,0,3,1997,109874,0.4732941910383859,-0.6120976151694408,-0.7355309551445144,medium,medium,low,Medium,Medium,Low,1
37,0,6,1997,12768,0.4732941910383859,-0.6120976151694408,-0.7355309551445144,medium,medium,low,Medium,Medium,Low,1
38,0,8,1997,28516,0.4732941910383859,-0.6120976151694408,-0.7355309551445144,medium,medium,low,Medium,Medium,Low,1
39,0,1,1998,33416,0.4732941910383859,-0.611047541939417,-0.6769118850019961,medium,medium,low,Medium,Medium,Low,1
40,0,3,1998,127212,0.4732941910383859,-0.611047541939417,-0.6769118850019961,medium,medium,low,Medium,Medium,Low,1
41,0,6,1998,14327,0.4732941910383859,-0.611047541939417,-0.6769118850019961,medium,medium,low,Medium,Medium,Low,1
42,0,8,1998,28037,0.4732941910383859,-0.611047541939417,-0.6769118850019961,medium,medium,low,Medium,Medium,Low,1
43,0,1,1999,37455,0.4732941910383859,-0.6099973019252081,-0.6293829092107648,medium,medium,low,Medium,Medium,Low,1
44,0,3,1999,142018,0.4732941910383859,-0.6099973019252081,-0.6293829092107648,medium,medium,low,Medium,Medium,Low,1
45,0,6,1999,17143,0.4732941910383859,-0.6099973019252081,-0.6293829092107648,medium,medium,low,Medium,Medium,Low,1
46,0,8,1999,24954,0.4732941910383859,-0.6099973019252081,-0.6293829092107648,medium,medium,low,Medium,Medium,Low,1
47,0,1,2000,38811,0.4732941910383859,-0.6089472286951843,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
48,0,3,2000,141228,0.4732941910383859,-0.6089472286951843,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
49,0,6,2000,15000,0.4732941910383859,-0.6089472286951843,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
50,0,8,2000,30455,0.4732941910383859,-0.6089472286951843,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
51,0,1,2001,38135,0.4732941910383859,-0.6078969886809752,-0.6262143108246827,medium,medium,low,Medium,Medium,Low,1
52,0,3,2001,148818,0.4732941910383859,-0.6078969886809752,-0.6262143108246827,medium,medium,low,Medium,Medium,Low,1
53,0,6,2001,20000,0.4732941910383859,-0.6078969886809752,-0.6262143108246827,medium,medium,low,Medium,Medium,Low,1
54,0,8,2001,28220,0.4732941910383859,-0.6078969886809752,-0.6262143108246827,medium,medium,low,Medium,Medium,Low,1
55,0,1,2002,39460,0.4732941910383859,-0.6068469154509515,-0.6452259011411754,medium,medium,low,Medium,Medium,Low,1
56,0,3,2002,153868,0.4732941910383859,-0.6068469154509515,-0.6452259011411754,medium,medium,low,Medium,Medium,Low,1
57,0,6,2002,20000,0.4732941910383859,-0.6068469154509515,-0.6452259011411754,medium,medium,low,Medium,Medium,Low,1
58,0,8,2002,31617,0.4732941910383859,-0.6068469154509515,-0.6452259011411754,medium,medium,low,Medium,Medium,Low,1
59,0,1,2004,46197,0.4732941910383859,-0.6047466022067187,-0.6943391761254474,medium,medium,low,Medium,Medium,Low,1
60,0,3,2004,149346,0.4732941910383859,-0.6047466022067187,-0.6943391761254474,medium,medium,low,Medium,Medium,Low,1
61,0,6,2004,13333,0.4732941910383859,-0.6047466022067187,-0.6943391761254474,medium,medium,low,Medium,Medium,Low,1
62,0,8,2004,31130,0.4732941910383859,-0.6047466022067187,-0.6943391761254474,medium,medium,low,Medium,Medium,Low,1
63,0,1,2005,45442,0.4732941910383859,-0.6036965289766949,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
64,0,3,2005,167061,0.4732941910383859,-0.6036965289766949,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
65,0,6,2005,17500,0.4732941910383859,-0.6036965289766949,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
66,0,8,2005,31582,0.4732941910383859,-0.6036965289766949,-0.7719698365844584,medium,medium,low,Medium,Medium,Low,1
67,0,1,2006,50111,0.4732941910383859,-0.6026462889624858,-0.7323623567584324,medium,medium,low,Medium,Medium,Low,1
68,0,3,2006,170745,0.4732941910383859,-0.6026462889624858,-0.7323623567584324,medium,medium,medium,Medium,Medium,Medium,1
69,0,6,2006,20000,0.4732941910383859,-0.6026462889624858,-0.7323623567584324,medium,medium,low,Medium,Medium,Low,1
70,0,8,2006,30787,0.4732941910383859,-0.6026462889624858,-0.7323623567584324,medium,medium,low,Medium,Medium,Low,1
71,0,1,2007,46732,0.4732941910383859,-0.6015962157324621,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
72,0,3,2007,188902,0.4732941910383859,-0.6015962157324621,-0.6135399172803542,medium,medium,medium,Medium,Medium,Medium,1
73,0,6,2007,20000,0.4732941910383859,-0.6015962157324621,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
74,0,8,2007,35496,0.4732941910383859,-0.6015962157324621,-0.6135399172803542,medium,medium,low,Medium,Medium,Low,1
75,0,1,2008,50000,0.4732941910383859,-0.6005459757182531,-0.6072027205081901,medium,medium,low,Medium,Medium,Low,1
76,0,3,2008,193878,0.4732941910383859,-0.6005459757182531,-0.6072027205081901,medium,medium,medium,Medium,Medium,Medium,1
77,0,6,2008,20000,0.4732941910383859,-0.6005459757182531,-0.6072027205081901,medium,medium,low,Medium,Medium,Low,1
78,0,8,2008,40168,0.4732941910383859,-0.6005459757182531,-0.6072027205081901,medium,medium,low,Medium,Medium,Low,1
79,0,1,2009,55693,0.4732941910383859,-0.5994959024882293,-0.604034122122108,medium,medium,low,Medium,Medium,Low,1
80,0,3,2009,219780,0.4732941910383859,-0.5994959024882293,-0.604034122122108,medium,medium,medium,Medium,Medium,Medium,1
81,0,6,2009,16667,0.4732941910383859,-0.5994959024882293,-0.604034122122108,medium,medium,low,Medium,Medium,Low,1
82,0,8,2009,40229,0.4732941910383859,-0.5994959024882293,-0.604034122122108,medium,medium,low,Medium,Medium,Low,1
